color_img,depth_img,uv_img,color_gt,depth_gt
G:/lx/Datasets/thuman2.0_v2/training/color/0000/0001_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth/0000/0001_0_00.png,G:/lx/Datasets/thuman2.0_v2/training/uv/0000/0001_0_00_dp.0001.png,G:/lx/Datasets/thuman2.0_v2/training/color_gt/0000/0000_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth_gt/0000/0000_0_00.png
G:/lx/Datasets/thuman2.0_v2/training/color/0000/0002_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth/0000/0002_0_00.png,G:/lx/Datasets/thuman2.0_v2/training/uv/0000/0002_0_00_dp.0001.png,G:/lx/Datasets/thuman2.0_v2/training/color_gt/0000/0000_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth_gt/0000/0000_0_00.png
G:/lx/Datasets/thuman2.0_v2/training/color/0000/0003_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth/0000/0003_0_00.png,G:/lx/Datasets/thuman2.0_v2/training/uv/0000/0003_0_00_dp.0001.png,G:/lx/Datasets/thuman2.0_v2/training/color_gt/0000/0000_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth_gt/0000/0000_0_00.png
G:/lx/Datasets/thuman2.0_v2/training/color/0000/0004_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth/0000/0004_0_00.png,G:/lx/Datasets/thuman2.0_v2/training/uv/0000/0004_0_00_dp.0001.png,G:/lx/Datasets/thuman2.0_v2/training/color_gt/0000/0000_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth_gt/0000/0000_0_00.png
G:/lx/Datasets/thuman2.0_v2/training/color/0000/0005_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth/0000/0005_0_00.png,G:/lx/Datasets/thuman2.0_v2/training/uv/0000/0005_0_00_dp.0001.png,G:/lx/Datasets/thuman2.0_v2/training/color_gt/0000/0000_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth_gt/0000/0000_0_00.png
G:/lx/Datasets/thuman2.0_v2/training/color/0000/0006_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth/0000/0006_0_00.png,G:/lx/Datasets/thuman2.0_v2/training/uv/0000/0006_0_00_dp.0001.png,G:/lx/Datasets/thuman2.0_v2/training/color_gt/0000/0000_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth_gt/0000/0000_0_00.png
G:/lx/Datasets/thuman2.0_v2/training/color/0000/0007_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth/0000/0007_0_00.png,G:/lx/Datasets/thuman2.0_v2/training/uv/0000/0007_0_00_dp.0001.png,G:/lx/Datasets/thuman2.0_v2/training/color_gt/0000/0000_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth_gt/0000/0000_0_00.png
G:/lx/Datasets/thuman2.0_v2/training/color/0000/0008_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth/0000/0008_0_00.png,G:/lx/Datasets/thuman2.0_v2/training/uv/0000/0008_0_00_dp.0001.png,G:/lx/Datasets/thuman2.0_v2/training/color_gt/0000/0000_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth_gt/0000/0000_0_00.png
G:/lx/Datasets/thuman2.0_v2/training/color/0000/0009_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth/0000/0009_0_00.png,G:/lx/Datasets/thuman2.0_v2/training/uv/0000/0009_0_00_dp.0001.png,G:/lx/Datasets/thuman2.0_v2/training/color_gt/0000/0000_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth_gt/0000/0000_0_00.png
G:/lx/Datasets/thuman2.0_v2/training/color/0000/0010_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth/0000/0010_0_00.png,G:/lx/Datasets/thuman2.0_v2/training/uv/0000/0010_0_00_dp.0001.png,G:/lx/Datasets/thuman2.0_v2/training/color_gt/0000/0000_0_00.jpg,G:/lx/Datasets/thuman2.0_v2/training/depth_gt/0000/0000_0_00.png
